step,rl-loss,episode
562,0.16605514287948608,26
563,0.20900246500968933,26
564,0.263811856508255,26
565,0.23619049787521362,26
566,0.2851603031158447,26
567,0.24001125991344452,26
568,0.22337806224822998,26
569,0.22964805364608765,26
570,0.3001065254211426,26
571,0.2446536272764206,26
572,0.3174341917037964,26
573,0.30273109674453735,26
574,0.17640021443367004,26
575,0.21348169445991516,26
576,0.32756489515304565,26
577,0.29884541034698486,27
578,0.2739543616771698,27
579,0.222238227725029,27
580,0.24456094205379486,27
581,0.2987445592880249,27
582,0.2078525274991989,27
583,0.15956930816173553,27
584,0.127074733376503,27
585,0.2700788974761963,27
586,0.2644319236278534,28
587,0.15294940769672394,28
588,0.19350861012935638,28
589,0.31666600704193115,28
590,0.3197004497051239,28
591,0.26011237502098083,28
592,0.15287593007087708,28
593,0.19216661155223846,28
594,0.2425403594970703,28
595,0.1611814945936203,28
596,0.16447404026985168,28
597,0.4042060077190399,28
598,0.2505517601966858,28
599,0.1438896656036377,28
600,0.24922341108322144,28
601,0.18888114392757416,28
602,0.24273735284805298,29
603,0.24030852317810059,29
604,0.4102171063423157,29
605,0.33243903517723083,29
606,0.18893501162528992,29
607,0.3212258219718933,29
608,0.19663088023662567,29
609,0.12872597575187683,29
610,0.18703773617744446,29
611,0.19973154366016388,29
612,0.1926974058151245,29
613,0.11491773277521133,29
614,0.1598697155714035,29
615,0.2829013466835022,29
616,0.1914357841014862,29
617,0.1551898568868637,29
618,0.1854463666677475,29
619,0.15650084614753723,29
620,0.16314038634300232,29
621,0.09054307639598846,29
622,0.15601670742034912,29
623,0.42370495200157166,29
624,0.20503976941108704,29
625,0.24263586103916168,29
626,0.20972628891468048,29
627,0.15548580884933472,29
628,0.2751920223236084,29
629,0.15977108478546143,29
630,0.26925021409988403,29
631,0.14062047004699707,29
632,0.2533208727836609,29
633,0.3398239016532898,29
634,0.12044581770896912,29
635,0.27722465991973877,29
636,0.28974542021751404,29
637,0.10849405825138092,29
638,0.2617456912994385,29
639,0.22209246456623077,29
640,0.2135632485151291,29
641,0.21373310685157776,29
642,0.19130480289459229,29
643,0.14126917719841003,29
644,0.16301672160625458,30
645,0.1692388504743576,30
646,0.11814776062965393,30
647,0.18594825267791748,30
648,0.25524619221687317,30
649,0.19951018691062927,30
650,0.19685275852680206,30
651,0.20708855986595154,30
652,0.23768486082553864,30
653,0.20063744485378265,30
654,0.18031103909015656,30
655,0.25228214263916016,30
656,0.22713124752044678,30
657,0.15824604034423828,30
658,0.31729909777641296,30
659,0.24593745172023773,30
660,0.15716277062892914,30
661,0.21452486515045166,30
662,0.262917697429657,30
663,0.21526725590229034,30
664,0.23696866631507874,30
665,0.27803102135658264,30
666,0.28418225049972534,30
667,0.2659059464931488,30
668,0.22787576913833618,30
669,0.2244955599308014,31
670,0.25509634613990784,31
671,0.25611361861228943,31
672,0.15024884045124054,31
673,0.21524302661418915,31
674,0.16306093335151672,31
675,0.282695472240448,31
676,0.30592599511146545,31
677,0.2120439112186432,31
678,0.23253117501735687,31
679,0.21962736546993256,31
680,0.23738516867160797,31
681,0.18889197707176208,31
682,0.22707414627075195,31
683,0.1765134483575821,31
